iter	Passed	Remaining
688	33654	15190
689	33681	15132
690	33707	15073
691	33756	15024
692	33944	15037
693	34098	15034
694	34315	15059
695	34568	15098
696	34740	15102
697	34886	15094
698	35014	15077
699	35142	15060
700	35227	15025
701	35373	15016
702	35414	14961
703	35450	14905
704	35489	14850
705	35528	14795
706	35565	14739
707	35601	14683
708	35637	14627
709	35669	14569
710	35697	14509
711	35734	14454
712	35761	14394
713	35786	14334
714	35812	14274
715	35840	14215
716	35868	14157
717	35896	14098
718	35920	14038
719	35946	13979
720	35973	13920
721	35999	13861
722	36024	13801
723	36050	13742
724	36076	13684
725	36101	13625
726	36127	13566
727	36153	13507
728	36212	13461
729	36260	13411
730	36293	13355
731	36320	13297
732	36349	13240
733	36374	13181
734	36401	13124
735	36434	13069
736	36462	13011
737	36489	12954
738	36519	12898
739	36557	12844
740	36585	12787
741	36612	12730
742	36657	12679
743	36709	12631
744	36757	12581
745	36805	12531
746	36846	12479
747	36883	12426
748	36929	12375
749	36985	12328
750	37028	12276
751	37070	12225
752	37116	12174
753	37153	12121
754	37206	12073
755	37254	12023
756	37301	11973
757	37342	11922
758	37381	11869
759	37420	11816
760	37485	11772
761	37617	11749
762	37711	11713
763	37779	11670
764	37885	11637
765	37952	11593
766	38006	11545
767	38152	11525
768	38249	11489
769	38327	11448
770	38375	11398
771	38418	11346
772	38461	11294
773	38507	11243
774	38552	11192
775	38592	11140
776	38637	11089
777	38677	11036
778	38713	10982
779	38752	10930
780	38792	10877
781	38830	10824
782	38879	10774
783	38920	10723
784	38980	10676
785	39026	10625
786	39064	10572
787	39103	10520
788	39238	10493
789	39449	10486
790	39658	10478
791	39762	10442
792	39857	10404
793	39971	10370
794	40052	10328
795	40196	10301
796	40330	10272
797	40436	10235
798	40584	10209
799	40672	10168
800	40774	10129
801	40885	10093
802	41013	10061
803	41097	10018
804	41194	9978
805	41450	9976
806	41566	9940
807	41616	9889
808	41682	9840
809	41748	9792
810	41790	9739
811	41838	9686
812	41891	9635
813	41933	9581
814	42307	9603
815	42382	9556
816	42459	9510
817	42544	9465
818	42659	9427
819	42768	9388
820	42854	9343
821	42988	9308
822	43093	9267
823	43190	9225
824	43293	9183
825	43465	9156
826	43585	9117
827	43656	9068
828	43712	9016
829	43799	8970
830	43867	8921
831	43914	8867
832	43982	8817
833	44028	8763
834	44103	8714
835	44160	8663
836	44206	8608
837	44269	8557
838	44322	8505
839	44386	8454
840	44432	8400
841	44494	8349
842	44548	8296
843	44631	8249
844	44712	8201
845	44796	8154
846	44914	8113
847	44997	8065
848	45142	8028
849	45196	7975
850	45264	7925
851	45352	7878
852	45437	7830
853	45481	7775
854	45553	7725
855	45598	7670
856	45636	7615
857	45679	7560
858	45719	7504
859	45765	7450
860	45818	7396
861	45870	7343
862	45919	7289
863	45965	7235
864	46053	7187
865	46130	7137
866	46211	7089
867	46302	7041
868	46380	6991
869	46434	6938
870	46505	6887
871	46561	6834
872	46617	6781
873	46660	6726
874	46729	6675
875	46794	6623
876	46842	6569
877	46905	6517
878	46972	6466
879	47040	6414
880	47098	6361
881	47147	6307
882	47197	6253
883	47240	6199
884	47294	6145
885	47372	6095
886	47519	6053
887	47666	6012
888	47779	5965
889	47875	5917
890	47973	5868
891	48075	5820
892	48218	5777
893	48296	5726
894	48365	5674
895	48422	5620
896	48487	5567
897	48565	5516
898	48823	5485
899	48867	5429
900	48919	5375
901	48982	5321
902	49039	5267
903	49087	5212
904	49136	5157
905	49214	5106
906	49363	5061
907	49612	5026
908	49740	4979
909	49857	4930
910	49953	4880
911	50063	4830
912	50200	4783
913	50366	4739
914	50518	4692
915	50583	4638
916	50647	4584
917	50706	4529
918	50759	4473
919	50806	4417
920	51014	4375
921	51134	4325
922	51241	4274
923	51306	4220
924	51362	4164
925	51407	4108
926	51480	4054
927	51544	3999
928	51702	3951
929	51795	3898
930	51946	3849
931	52031	3796
932	52098	3741
933	52179	3687
934	52267	3633
935	52360	3580
936	52443	3526
937	52536	3472
938	52630	3419
939	52728	3365
940	52842	3313
941	52951	3260
942	53003	3203
943	53070	3148
944	53239	3098
945	53320	3043
946	53381	2987
947	53447	2931
948	53491	2874
949	53541	2817
950	53590	2761
951	53634	2704
952	53730	2649
953	53775	2592
954	53835	2536
955	53878	2479
956	53939	2423
957	54007	2367
958	54084	2312
959	54151	2256
960	54198	2199
961	54250	2142
962	54340	2087
963	54531	2036
964	54704	1984
965	54831	1929
966	54930	1874
967	54992	1817
968	55096	1762
969	55278	1709
970	55343	1652
971	55396	1595
972	55452	1538
973	55516	1481
974	55668	1427
975	55841	1373
976	56003	1318
977	56157	1263
978	56262	1206
979	56468	1152
980	56545	1095
981	56636	1038
982	56828	982
983	56945	925
984	57095	869
985	57248	812
986	57350	755
987	57463	697
988	57526	639
989	57577	581
990	57626	523
991	57760	465
992	57835	407
993	57935	349
994	58023	291
995	58143	233
996	58256	175
997	58395	117
998	58508	58
999	58686	0
