;missing in:;chi2:;p_value;category
3504;tumor_size;235.27112012599525;4.285360563738877e-29;asxl2_mut
2405;npnt_mut;655.4389638889693;4.4205193048687e-29;muc16_mut
4849;ppp2r2a_mut;217.6553227840378;4.5395659419678544e-29;arid2_mut
6641;ccnd3_mut;210.7806999214094;4.672473441597508e-29;bap1_mut
3678;flt3_mut;198.8345453992358;5.140110365119488e-29;map3k10_mut
3389;ptpn22_mut;188.78108066924696;5.750485132054137e-29;palld_mut
5986;magea8_mut;345.0252841377969;5.870086046258998e-29;pde4dip_mut
3014;stk11_mut;360.39536934704233;6.528353068980325e-29;herc2_mut
3024;stk11_mut;314.2843184600198;6.613542479910351e-29;notch1_mut
3002;stk11_mut;541.1845157269106;7.337178169569864e-29;kmt2c_mut
5474;prr16_mut;172.2687005327587;8.560187309602386e-29;fbxw7_mut
6070;magea8_mut;172.26870053275866;8.560187309602512e-29;fbxw7_mut
4245;large1_mut;236.54102278739666;1.4684127642204605e-28;alk_mut
4250;large1_mut;236.52061494184827;1.480877640493244e-28;apc_mut
3623;flt3_mut;298.6923008575751;1.841605333132195e-28;col12a1_mut
6920;tbl1xr1_mut;237.2735894046955;2.5741352259816445e-28;ubr5_mut
5478;prr16_mut;172.25891155526656;2.9814331936731212e-28;rpgr_mut
6784;nr3c1_mut;210.79235201620426;3.302125405956184e-28;brca2_mut
5333;clrn2_mut;157.81935113407982;3.744125330988321e-28;lipi_mut
3766;taf4b_mut;315.4868790178723;6.198655448687634e-28;col6a3_mut
6133;foxo1_mut;379.67081886246456;9.949905652875318e-28;dnah5_mut
6206;foxo1_mut;189.59919836437572;1.0609022492194697e-27;zfp36l1_mut
6504;braf_mut;189.5991983643757;1.0609022492194697e-27;zfp36l1_mut
5672;ctnna1_mut;707.766754208883;1.0915187538324163e-27;tp53_mut
3964;hdac9_mut;210.02186445579875;1.1935469243340485e-27;arid2_mut
1826;sbno1_mut;351.72129912616754;1.3866708335270566e-27;akap9_mut
5040;nf2_mut;157.8085451595457;1.4678299606309735e-27;chek2_mut
1587;ptprm_mut;202.68007641877796;1.559189088824446e-27;l1cam_mut
3443;tumor_size;130.4622976190476;3.1012323954805072e-27;tumor_stage
6073;magea8_mut;172.26380344884365;3.243130072205024e-27;map3k13_mut
3238;sik2_mut;179.7161703778804;3.368930052946719e-27;prkcq_mut
5099;ldlrap1_mut;316.10138013183894;3.498291240121241e-27;arid1a_mut
4099;prkacg_mut;222.5426631580478;3.564799706910635e-27;pik3r1_mut
3379;ptpn22_mut;188.81639694729023;4.276944563893916e-27;egfr_mut
944;myo1a_mut;278.99712456705186;4.729434364976008e-27;col22a1_mut
5332;clrn2_mut;157.81935113407982;5.4438561177358864e-27;prkcz_mut
5036;nf2_mut;157.81394528960107;5.457575671404237e-27;prkce_mut
3329;ptpn22_mut;283.6383987765495;6.714055346686224e-27;atr_mut
2809;sik1_mut;156.96121880745994;8.117031514355077e-27;prkcz_mut
5467;prr16_mut;172.28834093736012;1.0124907681427927e-26;dcaf4l2_mut
5765;ctnna1_mut;172.28834093736012;1.0124907681427927e-26;dcaf4l2_mut
6063;magea8_mut;172.28834093736012;1.0124907681427927e-26;dcaf4l2_mut
5771;ctnna1_mut;172.2687005327587;1.0215046751196727e-26;nrg3_mut
6609;ccnd3_mut;210.8869321832717;1.3249084603928205e-26;erbb2_mut
6780;nr3c1_mut;210.80794642388616;1.3696264316561644e-26;ctnna3_mut
5538;dtwd2_mut;345.0697422678405;1.4139030035971257e-26;herc2_mut
3032;stk11_mut;270.05739190946224;1.6882528203506705e-26;thada_mut
5331;clrn2_mut;157.81935113407977;1.9466212394468953e-26;clk3_mut
3620;flt3_mut;298.7945042498121;2.058632347098816e-26;notch1_mut
6200;foxo1_mut;189.61678198237954;2.308412431019053e-26;arid5b_mut
5620;dtwd2_mut;172.2785103046799;3.122707096429521e-26;men1_mut
5919;agtr2_mut;172.27360281527663;3.129586493911503e-26;brip1_mut
3378;ptpn22_mut;188.8252495484362;3.2565130274136e-26;arid5b_mut
1380;myo3a_mut;333.7362907044729;3.7941042118445363e-26;tg_mut
1856;sbno1_mut;235.16753060753064;3.824325167237396e-26;usp9x_mut
4557;oncotree_code;188.33688761689314;4.026317672641361e-26;ncoa3_mut
4411;tumor_other_histologic_subtype;188.33688761689314;4.026317672641361e-26;ncoa3_mut
4703;cancer_type_detailed;188.33688761689314;4.026317672641361e-26;ncoa3_mut
2584;nek1_mut;150.69453406316413;4.098721694083795e-26;akt1_mut
2518;npnt_mut;144.72034115158527;4.5341944597699355e-26;acvrl1_mut
4096;prkacg_mut;222.5500247287115;4.6532744957751316e-26;alk_mut
1681;gldc_mut;322.7067064671655;4.9238871013039624e-26;tbx3_mut
3664;flt3_mut;198.89288439328365;5.35078772387571e-26;brca2_mut
5698;ctnna1_mut;264.935107776371;5.85117165528028e-26;cbfb_mut
6460;braf_mut;207.12894553250783;6.411342451063567e-26;erbb2_mut
5418;prr16_mut;175.50795045118835;6.511545658053449e-26;sf3b1_mut
